Contig,Bin,Type
contig_12937,MAG_294,chromosome
contig_12939,MAG_15,chromosome
contig_12942,MAG_294,chromosome
contig_12945,MAG_15,chromosome
contig_12948,MAG_569,unmapped
contig_1295,MAG_536,unmapped
contig_12950,MAG_135,chromosome
contig_12962,MAG_859,chromosome
contig_12968,MAG_194,chromosome
contig_12981,MAG_178,chromosome
contig_12986,MAG_1667,unmapped
contig_13000,MAG_1470,unmapped
contig_13001,MAG_1447,unmapped
contig_13002,Unbinned MAG,unmapped
contig_13005,MAG_315,chromosome
contig_13006,MAG_315,chromosome
contig_13007,MAG_14,chromosome
contig_13013,MAG_1371,chromosome
contig_13017,MAG_967,chromosome
contig_1303,MAG_529,chromosome
contig_13033,MAG_768,chromosome
contig_13036,MAG_8,chromosome
contig_13037,MAG_1408,chromosome
contig_13038,MAG_425,unmapped
contig_13042,MAG_873,unmapped
contig_13043,MAG_1817,chromosome
contig_13046,MAG_1219,chromosome
contig_13047,MAG_543,chromosome
contig_13052,MAG_812,unmapped
contig_13056,contig_13056,phage
contig_1306,MAG_211,chromosome
contig_13060,MAG_191,chromosome
contig_1307,MAG_211,chromosome
contig_13070,MAG_1119,unmapped
contig_13076,MAG_336,chromosome
contig_13078,MAG_506,unmapped
contig_13079,MAG_1445,unmapped
contig_13083,MAG_1634,chromosome
contig_13085,MAG_1741,chromosome
contig_13088,MAG_439,chromosome
contig_1309,MAG_116,chromosome
contig_13090,MAG_395,chromosome
contig_13096,MAG_1797,chromosome
contig_13100,MAG_98,chromosome
contig_13103,MAG_1136,chromosome
contig_13104,MAG_1316,unmapped
contig_13111,MAG_1790,unmapped
contig_13119,MAG_26,chromosome
contig_13122,MAG_1679,chromosome
contig_13125,MAG_1554,chromosome
contig_13129,MAG_213,chromosome
contig_13131,MAG_1593,unmapped
contig_13134,MAG_351,chromosome
contig_13141,MAG_113,chromosome
contig_13142,MAG_1894,chromosome
contig_13145,Unbinned MAG,unmapped
contig_13155,MAG_1755,chromosome
contig_13156,MAG_236,chromosome
contig_13161,MAG_253,chromosome
contig_13163,Unbinned MAG,unmapped
contig_13180,MAG_1231,unmapped
contig_13181,contig_13181,plasmid
contig_13188,MAG_1555,chromosome
contig_13189,Unbinned MAG,unmapped
contig_13209,contig_13209,phage
contig_13215,MAG_1353,chromosome
contig_13221,MAG_153,chromosome
contig_13231,MAG_267,chromosome
contig_13252,MAG_54,chromosome
contig_13255,MAG_54,chromosome
contig_13259,MAG_677,unmapped
contig_13262,MAG_730,chromosome
contig_13270,MAG_54,chromosome
contig_13284,MAG_54,chromosome
contig_13286,MAG_1899,chromosome
contig_13289,MAG_54,unmapped
contig_1332,Unbinned MAG,unmapped
contig_13324,MAG_1519,unmapped
contig_13332,MAG_119,chromosome
contig_13333,MAG_79,chromosome
contig_13335,MAG_20,chromosome
contig_13338,MAG_915,unmapped
contig_13348,MAG_151,chromosome
contig_1335,Unbinned MAG,unmapped
contig_13350,MAG_1541,chromosome
contig_13380,MAG_1611,unmapped
contig_1339,Unbinned MAG,unmapped
contig_134,Unbinned MAG,unmapped
contig_1341,MAG_151,chromosome
contig_1342,MAG_134,chromosome
contig_1348,MAG_920,chromosome
contig_1350,MAG_1545,unmapped
contig_13517,MAG_254,chromosome
contig_13522,MAG_1382,chromosome
contig_13523,MAG_1782,chromosome
contig_13527,MAG_120,chromosome
contig_13535,MAG_7,unmapped
contig_13536,MAG_7,chromosome
contig_13537,MAG_7,chromosome
contig_13547,MAG_1302,unmapped
contig_13550,MAG_1205,chromosome
contig_13552,MAG_1223,unmapped
contig_13555,Unbinned MAG,unmapped
contig_13559,MAG_143,chromosome
contig_13569,MAG_39,unmapped
contig_13578,MAG_1025,chromosome
contig_1358,MAG_542,chromosome
contig_13585,MAG_1320,chromosome
contig_13598,MAG_450,chromosome
contig_136,Unbinned MAG,unmapped
contig_13603,MAG_1456,chromosome
contig_13608,MAG_149,chromosome
contig_1361,MAG_1702,unmapped
contig_13612,MAG_125,chromosome
contig_13619,MAG_66,chromosome
contig_13628,MAG_34,chromosome
contig_13631,MAG_244,chromosome
contig_13634,MAG_1230,chromosome
contig_13636,MAG_80,chromosome
contig_13637,MAG_80,chromosome
contig_13638,MAG_305,unmapped
contig_13647,MAG_1701,unmapped
contig_13657,MAG_1212,chromosome
contig_13661,MAG_1211,chromosome
contig_13662,MAG_1883,chromosome
