Contig,Restriction sites,Length,Coverage,Self Contact
contig_13001,439,47212,4,
contig_13002,205,16054,21,
contig_13005,436,32992,247,
contig_13006,2087,165203,432,
contig_13007,1863,154968,403,
contig_13013,267,31540,53,
contig_13017,10218,1076375,3183,
contig_1303,753,74977,350,
contig_13033,5825,757773,21871,
contig_13036,232,21636,44,
contig_13037,100,12690,12,
contig_13038,509,55727,91,
contig_13042,185,38172,21,
contig_13043,49,7368,8,
contig_13046,150,40416,26,
contig_13047,3084,521173,2334,
contig_13052,1916,212992,188,
contig_13056,336,41571,51,
contig_1306,24666,2906427,49171,
contig_13060,420,53671,50,
contig_1307,238,26006,2,
contig_13070,1149,116639,66,
contig_13076,1331,118432,158,
contig_13078,304,44957,40,
contig_13079,539,88519,24,
contig_13083,586,93521,638,
contig_13085,5414,483405,376,
contig_13088,1016,124562,266,
contig_1309,933,112868,149,
contig_13090,1686,141600,254,
contig_13096,1299,185713,599,
contig_13100,518,86850,222,
contig_13103,13603,1710977,30519,
contig_13104,401,34920,48,
contig_13111,1062,239532,234,
contig_13119,423,62871,104,
contig_13122,486,75436,897,
contig_13125,607,53114,90,
contig_13129,3467,391698,2779,
contig_13131,274,34407,401,
contig_13134,705,78914,178,
contig_13141,1061,103239,169,
contig_13142,1277,173546,45,
contig_13145,237,42800,25,
contig_13155,488,54609,179,
contig_13156,317,43667,48,
contig_13161,571,54402,45,
contig_13163,176,17879,14,
contig_13180,1994,238131,3051,
contig_13181,634,145036,248,
contig_13188,4982,489190,661,
contig_13189,14,1187,4,
contig_13209,2332,129259,323,
contig_13215,3563,557297,235,
contig_13221,355,107973,170,
contig_13231,1115,261462,1597,
contig_13252,981,95515,65,
contig_13255,1430,149261,333,
contig_13259,254,28220,23,
contig_13262,264,27550,36,
contig_13270,1824,203165,584,
contig_13284,1066,111400,250,
contig_13286,134,16813,12,
contig_13289,249,25903,6,
contig_1332,127,12923,200,
contig_13324,479,55811,2541,
contig_13332,3171,306964,432,
contig_13333,524,64044,96,
contig_13335,2712,293142,1164,
contig_13338,819,125221,263,
contig_13348,207,33455,25,
contig_1335,72,7738,102,
contig_13350,4820,552746,3364,
contig_13380,1406,79687,43,
contig_1339,226,26056,10288,
contig_134,2,1214,714,
contig_1341,471,48924,20,
contig_1342,417,50968,52,
contig_1348,19609,2634835,13039,
contig_1350,846,94607,266,
contig_13517,1248,146634,333,
contig_13522,1693,139806,3703,
contig_13523,3570,282910,953,
contig_13527,393,47439,78,
contig_13535,220,30482,99,
contig_13536,134,17624,56,
contig_13537,1324,203927,2101,
contig_13547,5294,990008,6889,
contig_13550,1773,336221,348,
contig_13552,1142,236071,148,
contig_13555,1890,119502,600,
contig_13559,3404,228329,1254,
contig_13569,132,36480,16,
contig_13578,439,105977,17,
contig_1358,972,77299,41,
contig_13585,80,16072,21,
contig_13598,12991,1549063,18124,
contig_136,238,70692,113715,
contig_13603,4713,502833,391,
contig_13608,1613,158435,460,
contig_1361,464,22942,4,
contig_13612,1500,159380,446,
contig_13619,864,125187,392,
contig_13628,1148,111109,162,
contig_13631,1375,142459,80,
contig_13634,803,82613,42,
contig_13636,1676,208002,220,
contig_13637,495,68034,62,
contig_13638,176,50403,1267,
contig_13647,2126,276146,256,
contig_13657,2568,418396,715,
contig_13661,2059,340622,176,
contig_13662,2237,363506,432,
contig_13664,1460,152948,5259,
contig_13668,357,88425,4764,
contig_13669,222,50060,97,
contig_13670,13955,1336305,2491,
contig_13675,364,56773,822,
contig_13680,533,54164,17,
contig_13685,6676,1074596,1674,
contig_13687,2208,203459,215,
contig_1369,3946,766862,8490,
contig_13693,393,68381,96,
contig_13696,4721,525507,262,
contig_13699,365,49138,32,
contig_1370,2393,498578,252,
contig_13706,674,86652,458,
contig_1371,4370,620206,508,
contig_13713,5345,581569,1396,
contig_1372,14811,2355804,1862,
contig_13730,11,1510,3,
contig_13749,736,112574,878,
contig_13758,236,45613,26,
contig_13759,52,6343,2526,
contig_1376,7303,1173498,16712,
contig_13763,2588,276010,355,
contig_13768,743,63016,47,
contig_13775,1848,194194,372,
contig_13779,1078,114622,126,
contig_13780,444,59346,13,
contig_13785,583,67753,269,
contig_1379,13539,2395588,5872,
